ticker,loan_id,property_name,city,state,address,zip,loan_level_type
BACM 2017-BNK3,18,FREMAUX TOWN CENTER,,,,,
BACM 2017-BNK3,3,JW MARRIOTT DESERT SPRINGS,,,,,
BACM 2017-BNK3,31,"HOLIDAY INN EXPRESS - GARLAND, TX",,,,,
BACM 2017-BNK3,61,"1002, 1008, 1014, 1020 SOUTH JASON STREET",,,,,
BACM 2017-BNK3,61,1011 SOUTH HURON STREET,,,,,
BANK 2017-BNK4,5,JW MARRIOTT DESERT SPRINGS,,,,,
BANK 2017-BNK4,9,MERRILL LYNCH DRIVE,,,,,
BANK 2017-BNK5,18,CROSSGATES COMMONS,,,,,
BANK 2017-BNK5,20,JACKSONVILLE HILTON HOTELS,,,,,
BANK 2017-BNK5,28,COMFORT INN HOTEL CIRCLE,,,,,
BANK 2017-BNK5,32,TEMESCAL VILLAGE PLAZA,,,,,
BANK 2017-BNK5,7,270 CORPORATE CENTER,,,,,
BANK 2017-BNK5,9,CARDINAL HEALTH,,,,,
BANK 2017-BNK5,9,TE CONNECTIVITY,,,,,
BANK 2017-BNK5,9,FCA LLC,,,,,
BANK 2017-BNK5,9,FEDEX (STAUNTON),,,,,
BANK 2017-BNK5,9,QUADPACKAGING (PROTEUS),,,,,
BANK 2017-BNK5,9,QUADPACKAGING (TRANSPAK),,,,,
BANK 2017-BNK5,9,T-MOBILE,,,,,
BANK 2017-BNK5,9,H&E EQUIPMENT SERVICES (YUKON),,,,,
BANK 2017-BNK5,9,H&E EQUIPMENT SERVICES (GREER),,,,,
BANK 2017-BNK5,9,BAXALTA (ANKENY),,,,,
BANK 2017-BNK5,9,H&E EQUIPMENT SERVICES (SAN ANTONIO),,,,,
BANK 2017-BNK5,9,BAE SYSTEMS,,,,,
BANK 2017-BNK5,9,FEDEX (STRATFORD),,,,,
BANK 2017-BNK5,9,FEDEX (BALTIMORE),,,,,
BANK 2017-BNK5,9,HARMAN,,,,,
BANK 2017-BNK5,9,GE AVIATION (LAFAYETTE),,,,,
BANK 2017-BNK5,9,GODADDY,,,,,
BANK 2017-BNK5,9,CARRIER,,,,,
BANK 2017-BNK5,9,EMERUS,,,,,
BANK 2017-BNK5,9,H&E EQUIPMENT SERVICES (COLUMBIA),,,,,
BANK 2017-BNK5,9,LKQ CORPORATION (TOLEDO),,,,,
BANK 2017-BNK5,9,SIKORSKY AIRCRAFT,,,,,
BANK 2017-BNK5,9,VATTEROTT COLLEGE,,,,,
BANK 2017-BNK5,9,COMCAST,,,,,
BANK 2017-BNK5,9,ALFA LAVAL,,,,,
BANK 2017-BNK5,9,LKQ CORPORATION (NEW BRAUNFELS),,,,,
BANK 2017-BNK5,9,HITACHI,,,,,
BANK 2017-BNK5,9,CAMERON,,,,,
BANK 2017-BNK5,9,ALLIANCE DATA,,,,,
BANK 2017-BNK5,9,SYNCHRONY FINANCIAL,,,,,
BANK 2017-BNK5,9,BAXALTA (BARRY POINTE),,,,,
BANK 2017-BNK5,9,BAXALTA (CASSELBERRY),,,,,
BANK 2017-BNK5,9,BAXALTA (MOUNDS VIEW),,,,,
BANK 2017-BNK5,9,BAXALTA (GRAND RAPIDS),,,,,
BANK 2017-BNK5,9,GERDAU,,,,,
BANK 2017-BNK5,9,BAXALTA (WAUSAU),,,,,
BANK 2017-BNK5,9,BAXALTA (SPRINGFIELD),,,,,
BANK 2017-BNK5,9,LKQ (SALISBURY),,,,,
BANK 2017-BNK5,9,H&E EQUIPMENT SERVICES (NEW ORLEANS),,,,,
BANK 2017-BNK5,9,GE AVIATION (POMPANO),,,,,
BANK 2017-BNK5,9,SAINT-GOBAIN,,,,,
BANK 2017-BNK6,12,TRUMBULL MARRIOTT,,,,,
BANK 2017-BNK6,13,GRAN PARK AT THE AVENUES,,,,,
BANK 2017-BNK6,2,LKQ CORPORATION (TOLEDO),,,,,
BANK 2017-BNK6,2,BAXALTA (WAUSAU),,,,,
BANK 2017-BNK6,2,BAXALTA (GRAND RAPIDS),,,,,
BANK 2017-BNK6,2,GERDAU,,,,,
BANK 2017-BNK6,2,BAE SYSTEMS,,,,,
BANK 2017-BNK6,2,FEDEX (STRATFORD),,,,,
BANK 2017-BNK6,2,FEDEX (BALTIMORE),,,,,
BANK 2017-BNK6,2,HARMAN,,,,,
BANK 2017-BNK6,2,GE AVIATION (LAFAYETTE),,,,,
BANK 2017-BNK6,2,GODADDY,,,,,
BANK 2017-BNK6,2,CARRIER,,,,,
BANK 2017-BNK6,2,EMERUS,,,,,
BANK 2017-BNK6,2,CARDINAL HEALTH,,,,,
BANK 2017-BNK6,2,TE CONNECTIVITY,,,,,
BANK 2017-BNK6,2,FCA LLC,,,,,
BANK 2017-BNK6,2,FEDEX (STAUNTON),,,,,
BANK 2017-BNK6,2,QUADPACKAGING (PROTEUS),,,,,
BANK 2017-BNK6,2,QUADPACKAGING (TRANSPAK),,,,,
BANK 2017-BNK6,2,T-MOBILE,,,,,
BANK 2017-BNK6,2,SIKORSKY AIRCRAFT,,,,,
BANK 2017-BNK6,2,VATTEROTT COLLEGE,,,,,
BANK 2017-BNK6,2,COMCAST,,,,,
BANK 2017-BNK6,2,ALFA LAVAL,,,,,
BANK 2017-BNK6,2,LKQ CORPORATION (NEW BRAUNFELS),,,,,
BANK 2017-BNK6,2,HITACHI,,,,,
BANK 2017-BNK6,2,CAMERON,,,,,
BANK 2017-BNK6,2,ALLIANCE DATA,,,,,
BANK 2017-BNK6,2,SYNCHRONY FINANCIAL,,,,,
